n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Train R^2,Val R^2
200,,10,3,log2,0.6780377742345601,0.003963478278361865
200,,10,5,sqrt,0.6164978273835063,0.006465246526181134
200,,10,5,log2,0.6164978273835063,0.006465246526181134
200,10,2,1,sqrt,0.3926835691897946,0.018474543839980484
200,10,2,1,log2,0.3926835691897946,0.018474543839980484
200,10,2,3,sqrt,0.3688474544051023,0.015365241365527504
200,10,2,3,log2,0.3688474544051023,0.015365241365527504
200,10,2,5,sqrt,0.3457085802669537,0.017593896393053855
200,10,2,5,log2,0.3457085802669537,0.017593896393053855
200,10,5,1,sqrt,0.3831036255966856,0.017336169865725247
200,10,5,1,log2,0.3831036255966856,0.017336169865725247
200,10,5,3,sqrt,0.3688474544051023,0.015365241365527504
200,10,5,3,log2,0.3688474544051023,0.015365241365527504
200,10,5,5,sqrt,0.3457085802669537,0.017593896393053855
200,10,5,5,log2,0.3457085802669537,0.017593896393053855
200,10,10,1,sqrt,0.3594074870998404,0.015612905258931508
200,10,10,1,log2,0.3594074870998404,0.015612905258931508
200,10,10,3,sqrt,0.3545911484120702,0.016915946335344177
200,10,10,3,log2,0.3545911484120702,0.016915946335344177
200,10,10,5,sqrt,0.3457085802669537,0.017593896393053855
200,10,10,5,log2,0.3457085802669537,0.017593896393053855
200,20,2,1,sqrt,0.8410081422109472,0.0008641732894403176
200,20,2,1,log2,0.8410081422109472,0.0008641732894403176
200,20,2,3,sqrt,0.713058187264855,0.00477301179087043
200,20,2,3,log2,0.713058187264855,0.00477301179087043
200,20,2,5,sqrt,0.6022389985849779,0.009115615727004566
200,20,2,5,log2,0.6022389985849779,0.009115615727004566
200,20,5,1,sqrt,0.7941136854195661,0.0035608642178601158
200,20,5,1,log2,0.7941136854195661,0.0035608642178601158
200,20,5,3,sqrt,0.713058187264855,0.00477301179087043
200,20,5,3,log2,0.713058187264855,0.00477301179087043
200,20,5,5,sqrt,0.6022389985849779,0.009115615727004566
200,20,5,5,log2,0.6022389985849779,0.009115615727004566
200,20,10,1,sqrt,0.7042618560936947,0.0021282223798569254
200,20,10,1,log2,0.7042618560936947,0.0021282223798569254
200,20,10,3,sqrt,0.6541291233891858,0.0027085407959224874
200,20,10,3,log2,0.6541291233891858,0.0027085407959224874
200,20,10,5,sqrt,0.6022389985849779,0.009115615727004566
200,20,10,5,log2,0.6022389985849779,0.009115615727004566
300,,2,1,sqrt,0.8953523660398884,-0.0010983368689864825
300,,2,1,log2,0.8953523660398884,-0.0010983368689864825
300,,2,3,sqrt,0.7426610360972458,0.001602809892142798
300,,2,3,log2,0.7426610360972458,0.001602809892142798
300,,2,5,sqrt,0.6172268754851107,0.008020806921830836
300,,2,5,log2,0.6172268754851107,0.008020806921830836
300,,5,1,sqrt,0.845141619996131,-0.001226212895992218
300,,5,1,log2,0.845141619996131,-0.001226212895992218
300,,5,3,sqrt,0.7426610360972458,0.001602809892142798
300,,5,3,log2,0.7426610360972458,0.001602809892142798
300,,5,5,sqrt,0.6172268754851107,0.008020806921830836
300,,5,5,log2,0.6172268754851107,0.008020806921830836
300,,10,1,sqrt,0.7435641983087918,0.0007120364437807614
300,,10,1,log2,0.7435641983087918,0.0007120364437807614
300,,10,3,sqrt,0.678766195156684,0.004602645712810649
300,,10,3,log2,0.678766195156684,0.004602645712810649
300,,10,5,sqrt,0.6172268754851107,0.008020806921830836
300,,10,5,log2,0.6172268754851107,0.008020806921830836
300,10,2,1,sqrt,0.3932693068914565,0.01788416348350348
300,10,2,1,log2,0.3932693068914565,0.01788416348350348
300,10,2,3,sqrt,0.3698928687859194,0.015629251232573405
