n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,rfe_features,pca_components,splits,Train R^2,Val R^2
100,20,5,3,log2,20,20,6,0.7767695375171121,0.011658097087798728
100,,10,5,,20,15,6,0.7716305076513909,-0.0213344707562943
100,20,10,3,sqrt,10,20,6,0.6945351614055234,0.006752142340514726
200,,5,5,log2,20,20,6,0.6806396558299418,0.01243858301221995
100,20,2,3,log2,15,20,5,0.7707859617731319,-0.0006578852048896966
200,10,10,1,sqrt,10,20,7,0.44418995948316115,0.025785280147565807
100,,5,5,log2,20,20,6,0.6779138037504288,0.010147822552072527
300,,2,3,sqrt,15,20,6,0.7854530230368905,0.009631688270343016
200,20,2,3,,20,20,6,0.8451343090446031,-0.021344995633871544
300,20,10,5,sqrt,15,20,5,0.6698896025216398,0.00833660151319704
100,20,5,5,,20,15,5,0.7697334625957456,-0.032523370868992416
200,20,5,3,,15,20,7,0.8375831497185754,0.006219520720108974
100,10,2,5,log2,15,15,7,0.4340368073599285,0.03432867047245082
300,,10,1,,15,15,6,0.8276564463260639,-0.03266737349151531
200,10,10,3,,10,15,7,0.5204090787143295,0.0016548515014358184
300,20,5,3,sqrt,15,15,5,0.7759528246652926,0.003944013898322796
100,,10,1,sqrt,15,20,7,0.7753507566379285,0.025901085529248382
200,10,10,3,log2,20,15,5,0.4799516826175128,0.015478641862404264
200,10,2,1,,10,15,7,0.5540456650390586,0.0015673023798081775
300,,5,1,,20,20,7,0.8864482311408483,0.01198302847365118
300,10,5,3,,15,20,5,0.5747247152961383,-0.015075202364312456
300,,5,3,log2,10,20,6,0.7585249790564405,0.010042532795729345
300,20,5,1,,15,15,7,0.8721709016150163,0.007503893592621809
200,10,2,5,log2,15,20,7,0.450615015423299,0.0350721286195897
200,,10,3,log2,10,20,5,0.7019996163730167,0.007366827399583209
100,20,5,5,log2,20,20,5,0.6743374984016821,0.00923079490470582
300,10,5,3,,15,20,7,0.5809327576562929,0.012390370055030187
300,,10,5,log2,15,20,6,0.6755048641916054,0.011284204193667935
300,10,5,1,sqrt,20,15,7,0.5074063925184145,0.03819402369334816
100,10,10,3,sqrt,20,15,6,0.4757279604238376,0.022045453904958618
100,10,2,3,sqrt,10,15,5,0.467869340099338,0.00817677305800375
100,20,10,3,log2,10,15,6,0.6801706511203616,0.0030434157255820513
100,10,2,1,,15,15,7,0.5837003071082496,0.012454122600670168
100,20,5,5,sqrt,15,15,5,0.668495528110652,0.0012008247890779034
300,,2,5,,20,15,5,0.7749355695974252,-0.02721054991614813
200,20,5,3,,10,15,6,0.8106318391464759,-0.009057568161483676
100,20,10,3,,20,20,6,0.8008613896760716,-0.024327806107500256
300,10,5,3,log2,15,15,7,0.466180816130004,0.03734045148941832
300,20,5,5,sqrt,20,15,6,0.6788857757711857,0.018882111287052843
200,10,10,1,sqrt,15,15,6,0.471924069361395,0.019174258512439313
100,10,2,3,sqrt,15,15,5,0.48439609029147485,0.012073814616842982
200,,10,3,,15,20,5,0.798182242795859,-0.03220944028554138
100,,5,5,sqrt,20,20,6,0.6910954564274677,0.011387621325213723
100,10,5,1,sqrt,10,20,6,0.46478008633220863,0.013923011843226585
300,20,5,5,log2,20,15,7,0.6753675863884252,0.03736177134181499
100,20,2,5,,10,15,7,0.7311031667058107,-0.004443584298072757
200,,10,5,sqrt,10,20,6,0.654720647290436,0.011845680550243801
200,10,5,3,,10,20,6,0.529659739006712,-0.004789323751854979
300,10,10,1,sqrt,10,15,7,0.4484522889089804,0.026208122619051637
300,20,2,3,sqrt,15,20,5,0.7742976911795403,0.003932585513392417
200,10,5,5,sqrt,15,20,5,0.45107168617656834,0.017335946774315804
100,10,5,5,sqrt,15,15,6,0.4562911751449669,0.01735388749072773
100,10,2,5,log2,20,15,5,0.46880250563661524,0.014489604089739783
300,10,2,3,sqrt,15,15,6,0.4871837417036941,0.018997248197535566
300,,10,1,log2,20,20,6,0.7842375440048494,0.010650559929613612
200,,2,5,sqrt,10,20,5,0.6639576559318051,0.002673428923049714
100,20,5,1,sqrt,15,15,7,0.842581488558732,0.027966245406304418
100,,10,5,,15,20,5,0.7635686097375954,-0.028356287176310335
100,,2,1,,15,20,7,0.9010825707207385,-0.0036930334327144798
300,,5,5,,10,20,5,0.7498130750181812,-0.02772479607271259
100,20,5,3,sqrt,15,15,6,0.7731856873984793,0.004659771931951495
200,20,10,1,,10,15,6,0.7895897763337348,-0.012494954035607261
300,20,5,1,log2,20,15,7,0.8491935418247196,0.03273585874954003
300,10,2,1,sqrt,15,20,5,0.5059938082201949,0.015598875813992863
100,10,10,1,sqrt,10,15,6,0.4342871612130965,0.016287185438245182
100,20,10,5,sqrt,20,15,5,0.6769227244061586,0.005577723466268636
100,10,2,1,sqrt,10,20,7,0.4801996055657164,0.02645387126850342
300,20,10,1,,15,20,5,0.8177768874556006,-0.03420420857749899
300,20,2,5,log2,10,15,6,0.6306296048737494,0.01515794998371589
300,10,2,1,log2,20,20,7,0.5149302964835601,0.03779288849367749
